candidate_id,candidate_name
1,George Washington
2,John Adams
3,Thomas Jefferson
4,James Madison
5,James Monroe
6,John Quincy Adams
7,Andrew Jackson
8,Martin Van Buren
9,William Henry Harrison
10,James K. Polk
11,Zachary Taylor
12,Franklin Pierce
13,James Buchanan
14,Abraham Lincoln
15,Ulysses S. Grant
16,Rutherford B. Hayes
17,James Garfield
18,Grover Cleveland
19,Benjamin Harrison
20,William McKinley
21,Theodore Roosevelt
22,William H. Taft
23,Woodrow Wilson
24,Warren G. Harding
25,Calvin Coolidge
26,Herbert C. Hoover
27,Franklin D. Roosevelt
28,Harry S. Truman
29,Dwight D. Eisenhower
30,John F. Kennedy
31,Lyndon B. Johnson
32,Richard M. Nixon
33,Jimmy Carter
34,Ronald Reagan
35,George Bush
36,William J. Clinton
37,Aaron Burr
38,Charles C. Pinckney
39,De Witt Clinton
40,Rufus King
41,Henry Clay
42,Lewis Cass
43,Winfield Scott
44,John C. Frémont
45,John C. Breckinridge
46,George B. McClellan
47,Horatio Seymour
48,Horace Greeley
49,Samuel J. Tilden
50,Winfield S. Hancock
51,James G. Blaine
52,William J. Bryan
53,Alton B. Parker
54,Charles E. Hughes
55,James M. Cox
56,John W. Davis
57,Alfred E. Smith
58,Alfred M. Landon
59,Wendell L. Wilkie
60,Thomas E. Dewey
61,Adlai Stevenson
62,Barry M. Goldwater
63,Hubert H. Humphrey
64,George S. McGovern
65,Gerald R. Ford
66,Walter F. Mondale
67,Michael S. Dukakis
68,Bob Dole
